;Part de la France dans les encouragements versés - Trot;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
0;;2000.0;2001.0;2002.0;2003.0;2004.0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
1;Nombre de courses organisées;173848.0;176333.0;147100.0;145464.0;158497.0;151769;152492;130750;143494;119845;133940;128512;123226;116303;112331;112176;107951
2;Dont France;10109.0;10102.0;10236.0;10424.0;10504.0;10612;10731;10929;10984;11074;11071;11113;11088;11023;11086;11157;11259
3;% France;0.05814849753807924;0.05728933325015737;0.06958531611148878;0.07166034207776495;0.06627254774538319;0.06992205259308555;0.07037090470319754;0.08358699808795411;0.07654675456813526;0.09240268680378823;0.08265641331939674;0.08647441484063745;0.08998101050103062;0.09477829462696577;0.09869047725026929;0.09945977749251177;0.10429732008040685
4;Prix de courses ;;;;;;915888217;918070047;811930284;914291706;819689977;1018217191;1029990590;990380676;897951616;925222838;988282678;975481490
5;Dont France;;;;;;185430555;195736804;204910192;215372015;222594420;225560315;232325657;240120349;246158004;250375315;253635961;255845887
6;% France;;;;;;0.2024598106604968;0.21320465103900726;0.25237412132295833;0.23556159766804227;0.2715592800276488;0.22152475620498535;0.22556095099859116;0.24245257891118224;0.2741328147462235;0.2706108244595666;0.2566431312074459;0.2622765163898702
7;Primes à l'éleveur;;;;;;39126523;39956054;36066509;40538869;53321807;46426003;54355502;46223938;46680796;44320502;46656048;40669146
8;Dont France;;;;;;22903631;24298215;25585627;26709804;27897802;28104146;28803874;29607325;30450779;30743608;31026732;31043054
9;% France;;;;;;0.5853735329357019;0.608123489872148;0.709401261985184;0.6588689980472815;0.5231968601514199;0.6053535558510174;0.5299164378980439;0.6405193127422419;0.6523191892443307;0.6936656087514532;0.6650098611009659;0.7633072501694528
10;Primes au propriétaire;;;;;;11114112;7300563;5549530;4039359;5860;5222384;4704026;9638719;5669286;4367538;3812430;6379150
11;Dont France;;;;;;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC
12;% France;;;;;;;;;;;;;;;;;
13;Indemnités de transport;;;;;;4393454;1452479;1353506;1701221;1201581;1958884;1343170;7464437;6516893;6786017;7065576;6757611
14;Dont France;;;;;;1400890;716403;764631;791341;850000;900000;900000;6545838;6213176;6286661;6378918;6403359
