;;France + International;Unnamed: 1;France online + offline;Unnamed: 3;France online;Unnamed: 5;France offline;Unnamed: 7;International;Unnamed: 9;dont Parieurs professionnels internationaux;Unnamed: 11
Année;Taux d'inflation;Euros courants;Euros constants de 1991;Euros courants;Euros constants de 1991;Euros courants;Euros constants de 1991;Euros courants;Euros constants de 1991;Euros courants;Euros constants de 1991;Euros courants;Euros constants de 1991
2017;0.1;9072.3;6306.364068454384;7925.650000000001;5509.301321511139;761.09;529.0511368517298;7164.56;4980.250184659409;1146.67;797.0766494025319;793;551.2325106405572
2016;0.2;8896;6189.9977037491235;7854;5464.955256884625;709.4;493.6133510611093;7144.6;4971.341905823515;1042;725.0424468644994;626;435.5821225884613
2015;0;8992;6269.309832600758;8184;5705.964376112612;821.3;572.6183458090528;7362.7;5133.346030303559;808;563.3454564881464;422.1;294.2922242371864
2014;0.5;9159;6385.743856404621;8431;5878.1751777865875;843;587.747796806321;7588;5290.427380980266;728;507.56867861803295;383.1;267.1010450255061
2013;0.9;9636;6751.904458927448;8998;6304.860556395722;947.19;663.6920282743348;8050.8099999999995;5641.168528121387;638;447.043902531726;284.1;199.06766882329683
2012;2;9818;6941.345969235102;9488;6708.0352980344915;972.0352;687.2308634624807;8515.9648;6020.804434572011;330;233.31067120060942;0;0
2011;2.1;9765;7041.952358664939;9589;6915.031353531808;875;630.9993152925573;8714;6284.03203823925;176;126.92100513313153;0;0
2010;1.5;9323;6864.394920478211;9175;6755.424583866522;730;537.4888224765734;8445;6217.935761389949;148;108.97033661168886;0;0
2009;0.1;9302.5;6952.040572129657;9172.3;6854.738160682058;667.5;498.84300799747876;8504.8;6355.895152684579;130.2;97.30241144759809;0;0
2008;2.8;9300;6957.122418503264;9100;6807.506882621474;491.4;367.60537166155956;8608.6;6439.901510959915;200;149.61553588179063;0;0
2007;1.5;8800;6767.409919005154;8700;6690.507533561913;426.3;327.83486914453374;8273.7;6362.6726644173805;100;76.90238544324038;0;0
2006;1.7;8100;6322.529619216008;8000;6244.473697991119;320;249.77894791964474;7680;5994.694750071474;100;78.05592122488898;0;0
2005;1.7;8000;6350.629750856967;8000;6350.629750856967;248;196.869522276566;7752;6153.760228580401;0;0;0;0
2004;2.1;7600;6135.660933790458;7600;6135.660933790458;144.4;116.57755774201871;7455.6;6019.08337604844;0;0;0;0
2003;2.1;7000;5769.9432491842645;7000;5769.9432491842645;;;7000;5769.9432491842645;0;0;0;0
2002;1.9;6400;5386.1595953528085;6400;5386.1595953528085;;;6400;5386.1595953528085;0;0;0;0
2001;1.6;6200;5316.981108049995;6200;5316.981108049995;;;6200;5316.981108049995;0;0;0;0
2000;1.7;5800;5053.533269922099;5800;5053.533269922099;;;5800;5053.533269922099;0;0;0;0
1999;0.5;5400;4784.998967544514;5400;4784.998967544514;;;5400;4784.998967544514;0;0;0;0
1998;0.6;5300;4719.869814930715;5300;4719.869814930715;;;5300;4719.869814930715;0;0;0;0
1997;1.2;5300;4748.189033820298;5300;4748.189033820298;;;5300;4748.189033820298;0;0;0;0
1996;2;5400;4895.83083623041;5400;4895.83083623041;;;5400;4895.83083623041;0;0;0;0
1995;1.8;5200;4808.793843586313;5200;4808.793843586313;;;5200;4808.793843586313;0;0;0;0
1994;1.6;5200;4895.352132770867;5200;4895.352132770867;;;5200;4895.352132770867;0;0;0;0
1993;2.1;5300;5069.32541625857;5300;5069.32541625857;;;5300;5069.32541625857;0;0;0;0
1992;2.4;5400;5273.4375;5400;5273.4375;;;5400;5273.4375;0;0;0;0
1991;3.2;5400;5400;5400;5400;;;5400;5400;0;0;0;0
Note : variation annuelle.;;;;;;;;;;;;;
Source taux d'inflation: Insee, indice des prix à la consommation (France, ensemble des ménages);;;;;;;;;;;;;
Source enjeux hippiques: documents internes PMU.;;;;;;;;;;;;;
