;Enjeux hippiques dans le monde, 2005-2016;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36
0;En M€;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;
1;;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total
2;Japon;0;23464;23464;0;20335;20335;0;19033;19033;0;24692;24692;0;22092;22092;0;25435;25435;0;26032;26032;0;27087;27087;0;19087;19087;0;19808;19808;0;22935;22935;0;25565;25565
3;UK;15174;410;15584;15039;442;15481;15039;442;15481;10676;395;11071;10676;395;11071;7285;375;7660;7285;375;7660;11183;458;11641;12005;466;12471;13411;606;14017;14183;595;14778;11941;591;12531
4;Australie;1821;5434;7255;1726;5267;6993;2091;5568;7659;1771;4462;6233;2835;6081;8916;3990;7225;11215;3280;8028;11308;3226;8074;11300;3662;7738;11400;5017;9585;14602;4999;9555;14554;6106;10001;16107
5;Hong Kong;0;6545;6545;0;6208;6208;0;6208;6208;0;6118;6118;0;6603;6603;0;7702;7702;0;8566;8566;0;9348;9348;0;9536;9536;0;11461;11461;0;12580;12580;0;14365;14365
6;Etats-Unis;0;14227;14227;0;11222;11222;0;9998;9998;0;9799;9799;0;8547;8547;0;8539;8539;0;8324;8324;0;8410;8410;0;7886;7886;0;8691;8691;0;9805;9805;0;10193;10193
7;France;0;8207;8207;0;8302;8302;0;9036;9036;0;9465;9465;0;9484;9484;0;9502;9502;0;9920;9920;0;9956;9956;0;9765;9765;0;9277;9277;0;9083;9083;0;8951;8951
8;Allemagne;64;124;188;57;97;154;52;82;134;46;73;119;44;70;114;38;60;97;38;60;98;35;56;91;33;53;86;32;51;83;30;48;78;26;42;68
9;Corée du Sud;0;3874;3874;0;4104;4104;0;4672;4672;0;4030;4030;0;4034;4034;0;4442;4442;0;4528;4528;0;4521;4521;0;5308;5308;0;4954;4954;0;5127;5127;0;5185;5185
10;Irlande;5446;49;5495;3562;50;3612;3931;61;3992;3849;56;3905;3238;48;3286;3214;46;3260;2817;51;2868;2797;52;2849;2625;50;2675;2700;56;2756;3164;74;3238;4958;92;5050
11;Suède;0;1165;1165;0;1241;1241;0;1246;1246;0;1089;1089;0;1237;1237;0;1432;1432;0;1471;1471;0;1394;1394;0;1372;1372;0;1302;1302;0;1364;1364;0;1390;1390
12;Turquie;0;820;820;0;783;783;0;1063;1063;0;1063;1063;0;930;930;0;1079;1079;0;1101;1101;0;1208;1208;0;1168;1168;0;1377;1377;0;1304;1304;0;1199;1199
13;Canada;0;1265;1265;0;1128;1128;0;1198;1198;0;1010;1010;0;1010;1010;0;1129;1129;0;1070;1070;0;1021;1021;0;1032;1032;0;1032;1032;0;978;978;0;906;906
14;Singapour;0;1028;1028;0;925;925;0;924;924;0;1053;1053;0;1083;1083;0;1141;1141;0;1064;1064;0;976;976;0;906;906;0;951;951;0;909;909;0;844;844
15;Afrique du Sud;NC;NC;NC;NC;NC;NC;0;422;422;0;422;422;NC;NC;NC;NC;NC;NC;422;466;888;517;430;947;406;314;720;391;321;712;370;317;687;370;317;687
16;Italie;110;5267;5377;72;2829;2901;72;2829;2901;68;2206;2274;66;1919;1985;65;1668;1733;55;1317;1372;49;963;1012;50;764;814;56;626;682;68;569;637;95;513;608
17;Maroc;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0;368;368;NC;NC;NC;NC;NC;NC;0;518;518;0;556;556;;590;590;0;609;609
18;Tous pays;22708;74542;97251;20570;66734;87304;21307;65987;87294;16510;68276;84786;17340;66393;83732;15144;72989;88133;14003;75727;89730;18069;77292;95361;19003;68332;87335;21946;73255;95201;23044;78531;101575;24027.9;83194.1;107222
19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Note: données 2015 pour AFS.;;
20;Source;IFCE, FIAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Croissance annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;En M€;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;
24;;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total;Bookmakers;Pari mutuel;Total
25;Japon;;;;;-0.13335322195704058;-0.13335322195704058;;-0.0640275387263339;-0.0640275387263339;;0.2973256974728104;0.2973256974728104;;-0.10529726227118096;-0.10529726227118096;;0.1513217454282093;0.1513217454282093;;0.02347159425987812;0.02347159425987812;;0.040527043638598645;0.040527043638598645;;-0.295344630265441;-0.295344630265441;;0.0377744014250537;0.0377744014250537;;0.15786550888529888;0.15786550888529888;;0.11467189884456072;0.11467189884456072
